happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,Southeastern Asia,2015,Thailand,2.00354,2.0679700000000003
6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,Middle East and Northern Africa,2015,Saudi Arabia,1.8041800000000001,1.5177100000000001
6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,Western Europe,2015,Spain,2.26941,1.8079100000000001
6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,Western Europe,2015,Malta,2.18924,2.19271
6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,Eastern Asia,2015,Taiwan,1.95147,1.86085
6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,Middle East and Northern Africa,2015,Kuwait,1.89086,2.0154
6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633,Latin America and Caribbean,2015,Suriname,1.5802,1.6254899999999999
6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,Latin America and Caribbean,2015,Trinidad and Tobago,1.79837,2.0777099999999997
6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,Latin America and Caribbean,2015,El Salvador,1.70244,1.1571999999999998
6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,Latin America and Caribbean,2015,Guatemala,1.68781,1.50303
6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,Central and Eastern Europe,2015,Uzbekistan,1.93815,1.2107599999999998
5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,Central and Eastern Europe,2015,Slovakia,2.05901,1.6210399999999998
5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,Eastern Asia,2015,Japan,2.24823,1.69334
5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,Eastern Asia,2015,South Korea,1.92312,1.68369
5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,Latin America and Caribbean,2015,Ecuador,1.78978,1.28427
5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,Middle East and Northern Africa,2015,Bahrain,1.9634,1.6463
5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,Western Europe,2015,Italy,2.15223,1.7127199999999998
5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,Latin America and Caribbean,2015,Bolivia,1.51761,1.3728299999999998
5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,Central and Eastern Europe,2015,Moldova,1.63354,1.11602
5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,Latin America and Caribbean,2015,Paraguay,1.9657499999999999,1.55882
5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,Central and Eastern Europe,2015,Kazakhstan,1.76609,1.67276
5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,Central and Eastern Europe,2015,Slovenia,2.14722,2.0089400000000004
5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,Central and Eastern Europe,2015,Lithuania,1.9887299999999999,1.37675
5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,Latin America and Caribbean,2015,Nicaragua,1.88498,1.2329800000000002
5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,Latin America and Caribbean,2015,Peru,1.7047599999999998,1.40508
5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,Central and Eastern Europe,2015,Belarus,1.96897,1.33086
5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,Central and Eastern Europe,2015,Poland,2.05851,1.78224
5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,Southeastern Asia,2015,Malaysia,1.79417,1.88084
5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,Central and Eastern Europe,2015,Croatia,1.58429,1.37151
5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,Middle East and Northern Africa,2015,Libya,1.82242,1.62085
5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,Central and Eastern Europe,2015,Russia,1.90543,1.47637
5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,Latin America and Caribbean,2015,Jamaica,1.8384299999999998,1.5041099999999998
5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,Western Europe,2015,North Cyprus,1.99364,1.8172199999999998
5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,Western Europe,2015,Cyprus,1.81674,1.85977
5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,Middle East and Northern Africa,2015,Algeria,1.69538,1.12947
5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,Central and Eastern Europe,2015,Kosovo,1.4433,1.28466
5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,Central and Eastern Europe,2015,Turkmenistan,1.76554,1.2959200000000002
5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,Sub-Saharan Africa,2015,Mauritius,1.6947100000000002,1.8705
5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,Eastern Asia,2015,Hong Kong,2.07146,2.0056599999999998
5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,Central and Eastern Europe,2015,Estonia,2.00152,1.53558
5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,Southeastern Asia,2015,Indonesia,1.7250100000000002,1.8097299999999998
5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,Southeastern Asia,2015,Vietnam,1.65902,1.2907899999999999
5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,Middle East and Northern Africa,2015,Turkey,1.6780400000000002,1.2542000000000002
5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,Central and Eastern Europe,2015,Kyrgyzstan,1.8020299999999998,1.16703
5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,Sub-Saharan Africa,2015,Nigeria,1.06439,1.22972
5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,Southern Asia,2015,Bhutan,1.67802,1.6280100000000002
5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,Central and Eastern Europe,2015,Azerbaijan,1.5783800000000001,1.31153
5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,Southern Asia,2015,Pakistan,0.92877,0.9485200000000001
5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,Middle East and Northern Africa,2015,Jordan,1.7503099999999998,1.2761900000000002
